,Country,Population,Water,Electricity,Sanitation,fuel %,GDPP,Life expectancy,Child mortality,Fertility rate,Schooling,Maternal mortality ratio,Poverty,Gini
59,Ecuador,17797736,95.359764,98.85,91.524925,94.7,10668.758,73.67,1.2460622,2.33,14.62423,59.0,6.519245,10497.084
60,Egypt,109262184,99.44018,100.0,97.32547,99.9,11566.05,70.2207,1.8957832,2.98,13.7865,37.0,2.504851,11212.345
61,El Salvador,6314165,97.94658,100.0,82.44975,92.7,9086.047,70.7479,1.2426689,1.96,12.671348,46.0,1.4019152,8588.543
62,Equatorial Guinea,1634473,64.66582,66.74773,66.31279,24.1,14637.008,60.5943,7.677500000000001,4.18,9.73494,301.0,65.1,10785.218
63,Eritrea,3620324,51.84972,52.171097,11.939966,11.5,643.79,66.5358,3.8091557,3.73,8.064525,480.0,63.4,1729.0
64,Estonia,1328704,99.59078,100.0,99.14177,100,38717.695,77.1436,0.19995837,1.7,15.92896,7.7,0.5569403,39141.113
65,Eswatini,1192273,70.753075,79.7305,64.292175,58.1,8856.829,57.0657,5.263263,2.81,13.744346,437.0,36.079845,8149.7666
66,Ethiopia,120283024,49.615574,51.093983,8.910278,7.5,2319.0684,64.9748,4.681146600000001,3.56,9.651072,401.0,27.00762,2307.3284
67,Fiji,924615,94.30106,100.0,99.160774,51.4,10359.204,67.114,2.772603,2.38,14.73679,34.0,1.3182689,11808.647
68,Finland,5535982,100.0,100.0,99.44792,100,48753.355,82.0381,0.21700695,1.79,19.05193,4.3,0.03882923,49950.05
69,France,64531448,100.0,100.0,98.647606,100,44993.125,82.4988,0.4353803,1.97,15.81207,8.0,0.021168055,46357.0
71,Gabon,2341185,85.341934,91.57156,49.824165,89.7,13813.723,65.821,3.974532,3.43,12.97731,252.0,2.468642,9745.512
72,Gambia,2639922,80.94041,62.273067,46.871223,1.7,2076.5664,62.083,4.7885857000000005,4.99,9.418626,597.0,13.382067,2018.1012
73,Georgia,3757984,97.34814,100.0,85.76673,90.6,15486.659,71.694,0.9479781,1.95,15.56852,25.0,5.8068676,14489.377
74,Germany,83408560,100.0,100.0,99.22562,100,53179.656,80.6301,0.35651188,1.5,17.01014,3.6,0.0,54764.41
75,Ghana,32833036,85.791,85.87355,23.702475,30.3,5435.238,63.7954,4.3974525,3.66,12.04778,308.0,25.294516,5279.6396
77,Greece,10445368,100.0,100.0,98.99375,100,29548.04,80.1106,0.37140977,1.31,20.02879,7.2,0.6895517,28817.932
78,Grenada,124624,95.62865,93.58645,91.49389,88.3,13688.256,74.9362,1.6180647,1.99,18.66202,25.0,3.5,13263.274
80,Guatemala,17608484,94.00643,97.05527,67.92858,48.1,8926.7,69.2368,2.3019255000000003,2.69,10.56245,95.0,9.521303,8729.555
81,Guinea,13531909,63.96179,44.66868,29.77614,1,2640.3442,58.8922,9.872694,4.41,9.805298,576.0,13.8201,2333.398
82,Guinea-Bissau,2060730,59.01691,33.33547,18.225044,1,1831.3832,59.6523,7.430531000000001,4.2,10.613063,667.0,21.66049,1835.1237
83,Guyana,804571,95.55481,92.54054,85.78251,82,21925.188,65.6734,2.7678371,2.37,12.502722,169.0,11.897037,21116.89
84,Haiti,11447575,66.695305,46.925533,37.121735,4.3,2870.145,63.1924,5.8632683000000005,2.65,9.7,480.0,29.192194,2873.0005
85,Honduras,10278346,95.689224,93.20671,83.77658,49.5,5572.177,70.1229,1.6555912,2.26,10.132814,65.0,12.742991,5123.181
86,Hungary,9709784,100.0,100.0,97.9837,100,33593.152,74.5301,0.39958823,1.45,15.033628,15.2,0.30170247,31985.291
87,Iceland,370338,100.0,100.0,98.78054,100,53586.156,82.6782,0.26358929,1.88,19.16306,3.3,0.0,53923.223
88,India,1407563904,90.489525,99.0,71.26848,71.1,6592.042,67.2398,3.0619213,2.2,11.87462,145.0,10.012203,6488.9126
89,Indonesia,273753184,92.41535,96.95,86.46264,86.9,11858.146,67.5703,2.2173412,2.22,13.748894,177.0,3.547444,11535.597
90,Iran,87923432,97.482635,100.0,90.26677,96.4,15004.6875,73.8749,1.2631342,1.54,14.61525,16.0,1.0503994,14698.79
91,Iraq,43533592,98.3599,100.0,99.969734,99.3,8962.395,70.3779,2.4521646,4.04,12.087473,79.0,0.08875246,8863.46
92,Ireland,4986525,97.399704,100.0,91.337364,100,102496.22,81.9976,0.31456897,1.97,18.94522,0.0,0.003921386,74860.55
93,Israel,8900057,100.0,100.0,99.949036,100,42061.242,82.255,0.33565948,2.82,16.05089,2.8,0.49676624,42212.586
94,Italy,59240336,99.91703,100.0,99.88516,100,41929.43,82.8502,0.261415,1.54,16.22679,2.9,1.4576468,42606.676
95,Jamaica,2827701,91.029945,100.0,86.60642,82.5,9596.564,70.5003,1.2398633,1.92,13.404921,80.0,1.177246,9317.608
96,Japan,124612528,99.07891,100.0,99.92176,100,40784.383,84.7839,0.23023767,1.53,15.221626,2.7,0.72788787,41902.94
97,Jordan,11148288,98.9403,99.9,97.08436,99.9,9223.147,74.2563,1.4598967,3.02,10.64656,46.0,0.040854882,9174.095
98,Kazakhstan,19196468,95.43497,100.0,97.86712,93.9,26110.53,69.3622,1.0274288,2.47,15.765,10.0,0.015140791,22601.719
99,Kenya,53005616,61.632893,71.43794,32.698944,23.9,4743.4863,61.427,3.7152622,3.52,10.698559,342.0,29.365107,4672.2524
100,Kiribati,128883,77.970924,91.96303,45.575962,12.4,1937.0894,67.4172,4.8229107,3.42,11.801993,92.0,1.6573611,3625.127
102,Kuwait,4250111,100.0,100.0,100.0,100,43922.63,78.6729,0.8733754,1.92,15.324433,12.0,0.1,54328.25
103,Kyrgyzstan,6527742,91.6993,99.98105,97.891045,76.6,4814.9565,69.9774,1.7399975000000003,2.76,13.1953,60.0,1.3309736,4382.964
104,Laos,7425055,85.21974,100.0,79.48012,3.92,7846.975,68.0608,4.250992200000001,2.41,10.13611,185.0,7.138363,6830.667
105,Latvia,1873926,98.7826,100.0,92.42437,100,32081.455,73.5786,0.36795979,1.62,16.20253,22.9,0.2391008,32834.0
106,Lebanon,5592626,92.6,100.0,99.2,89.11,12977.202,75.0472,0.8238840000000001,1.7,11.28587,29.0,0.0,12496.678
107,Lesotho,2281464,72.17604,47.352737,50.318077,41.1,2295.2322,53.062,7.292536,2.83,12.040878,544.0,32.39991,2613.043
108,Liberia,5193422,75.261795,27.53471,18.163572,0.4,1423.2296,60.7472,7.604017000000001,4.19,10.42079,661.0,27.617748,1396.4324
109,Libya,6735280,99.891525,69.70735,92.106,16.76,21965.174,71.9112,1.0765929,2.07,12.85428,72.0,5.7,24458.0
111,Lithuania,2786652,98.01334,100.0,93.93707,100,39305.613,73.7201,0.33087552,1.71,16.28506,0.0,0.54792964,36196.223
112,Luxembourg,639330,99.87994,100.0,97.59135,100,115683.49,82.6287,0.2734924,1.63,14.39814,0.0,0.10118747,85907.68
114,Madagascar,28915652,53.385883,33.735077,12.3114,1.4,1463.6288,64.4853,6.600300000000001,3.87,10.134992,335.0,80.73006,1433.9443
115,Malawi,19889742,70.04773,14.866769,26.554264,1.6,1491.1339,62.9044,4.1899284,4.18,12.678986,349.0,70.0606,1429.858
116,Malaysia,33573872,97.09991,100.0,99.579,93.8,26333.156,74.8839,0.75561275,1.94,13.34304,29.0,0.019036654,25615.527
117,Maldives,521469,99.54444,100.0,99.155334,99.5,18765.217,79.9182,0.59616127,1.88,12.63561,53.0,0.0,16872.771
118,Mali,21904990,82.547295,50.561417,45.39421,0.900000000000001,2120.6233,58.9414,9.7066925,5.51,7.4230375,562.0,14.791442,2018.7278
119,Malta,526751,100.0,100.0,99.96447,100,44658.72,83.7769,0.5832006500000001,1.52,16.83857,6.0,0.30468178,41691.77
121,Mauritania,4614981,71.681046,47.34842,49.83422,48.3,5307.522,64.3636,4.0498463000000005,4.32,9.37616,766.0,6.490837,5210.343
122,Mauritius,1298922,99.86626,99.66165,95.50484,98.9,20967.947,73.5552,1.6617207,1.43,15.17353,61.0,0.12531371,21265.932
123,Mexico,126705136,99.679565,99.4,92.424065,84.6,19086.105,70.2127,1.3240743,2.02,14.86444,54.0,3.1000051,18585.646
124,Micronesia (country),113143,88.30816,82.92592,88.30933,13.02,3315.2302,70.71,2.4850218,2.75,11.5494795,88.0,16.028439,4001.5234
125,Moldova,3061509,90.56996,100.0,78.72914,97.6,14009.226,68.8459,1.419652,1.24,14.433,19.0,0.02864514,14389.468
127,Mongolia,3347782,85.49563,98.1,67.74079,53,11668.431,70.9754,1.4734358,2.53,14.98035,45.0,0.7115856,9964.894
128,Montenegro,627856,98.85692,100.0,97.771774,62,20602.5,76.3426,0.22629364,1.64,15.08161,6.0,2.839833,21040.535
129,Morocco,37076588,90.40234,100.0,87.25043,98.2,8058.397,74.0419,1.7995571000000004,2.3,14.15191,70.0,1.4431101,7963.5312
130,Mozambique,32077074,63.369427,30.603832,37.20487,5.4,1226.767,59.3247,6.9558426,4.86,10.2191515,289.0,64.64086,1204.0825
131,Myanmar,53798088,83.71819,70.397194,73.63688,43.5,4032.6257,65.6716,4.181237,2.09,10.909138,250.0,1.9911567,3924.118
132,Namibia,2530150,84.270035,56.258694,35.259968,47.3,9137.797,59.269,3.90433,3.1,11.927207,195.0,15.617014,8962.362
134,Nepal,30034988,90.07454,89.9,76.61121,35.2,3831.9485,68.4495,2.7163470000000003,1.94,12.88695,186.0,8.2404995,3852.7153
135,Netherlands,17501696,100.0,100.0,97.68577,100,56617.35,81.6873,0.4051762,1.76,18.693165,1.2,0.0957287,56024.16
136,New Zealand,5129730,100.0,100.0,100.0,100,42915.453,82.4513,0.47305393,1.93,20.28389,13.6,0.2,42624.375
137,Nicaragua,6850546,81.708755,88.90738,73.021095,57.4,5638.748,73.8368,1.3255423000000002,2.04,12.641357,98.0,3.9410286,5287.318
138,Niger,25252722,46.911797,19.25191,14.751306,3,1186.5768,61.5763,11.515188000000002,6.86,6.957112,509.0,50.633526,1208.8542
139,Nigeria,213401328,77.609055,55.4,42.72256,16.8,4922.6323,52.676,11.0819275,5.11,10.1275835,917.0,30.863298,4716.01
140,North Macedonia,2103329,97.74281,100.0,98.32788,79.2,16467.316,73.8415,0.5310603,1.58,13.624433,7.0,3.3985562,15724.528
141,Norway,5403021,99.99999,100.0,98.05107,100,65662.17,83.2339,0.21707294,1.83,18.1852,3.7,0.15653396,71742.06
142,Oman,4520474,92.16802,100.0,99.320244,100,34294.766,72.5406,1.013952,2.3,14.57349,19.0,4.3,31995.188
143,Pakistan,231402112,90.148964,75.37969,68.39731,50.7,5232.1426,66.0979,6.333255,3.12,8.65835,140.0,4.932448,5164.9404
145,Palestine,5133393,97.880394,100.0,98.57793,74.2,5643.0723,73.4727,1.4834751000000002,3.56,13.35801,27.0,0.5027173,6708.905
146,Panama,4351264,94.37254,96.704636,84.57385,100,29037.945,76.2233,1.3870468000000002,2.37,13.0578785,52.0,1.0040995,27058.459
147,Papua New Guinea,9949438,45.344017,60.4,19.223833,9.7,3677.4602,65.3506,4.2811897000000005,3.39,10.360771,145.0,39.68331,3888.737
148,Paraguay,6703802,99.59347,100.0,92.72079,69.8,13687.655,70.2617,1.8157492,2.33,12.987991,129.0,0.81328356,13279.179
149,Peru,33715464,93.139366,99.31181,78.5767,85.5,12514.651,72.3769,1.4122609000000002,2.24,15.387733,88.0,5.825761,11589.615
150,Philippines,113880336,94.10903,96.842384,82.25605,48,8094.693,69.2664,2.573953,2.75,13.12657,121.0,5.0445986,8369.371
151,Poland,38307724,99.96659,100.0,100.0,100,34915.523,76.4572,0.43466053,1.29,16.02715,2.5,0.0,33263.695
152,Portugal,10290109,99.911995,100.0,99.60415,100,33674.527,81.0443,0.309848,1.25,16.87123,11.5,0.14872062,33312.395
154,Qatar,2688239,99.5681,100.0,100.0,100,92862.35,79.2716,0.53061013,1.79,12.63722,9.0,1.0,87384.91
155,Romania,19328558,100.0,100.0,87.066444,100,30776.93,74.1847,0.6426879400000001,1.58,14.2299,19.0,2.1640766,30232.473
156,Russia,145102752,96.992546,100.0,89.39068,86.3,27960.102,69.419,0.5054897300000001,1.79,15.76637,17.0,0.010164272,26555.55
157,Rwanda,13461891,60.4145,46.6,68.83344,5.4,2238.9573,66.0722,3.9438885,3.47,11.23097,248.0,52.005394,2194.1584
158,Saint Lucia,179663,96.88785,100.0,83.36811,97.23,13045.955,71.1114,2.4820637000000003,1.41,12.86611,117.0,5.122805,14341.365
159,Samoa,218781,91.83772,100.0,96.76586,37.2,5534.127,72.7675,1.671849,3.69,12.4188595,43.0,1.150477,5433.684
160,Sao Tome and Principe,223118,78.226456,76.55909,47.62108,3.7,4052.1233,67.5912,1.5425553,4.1,13.365385,130.0,15.5519,3923.3706
161,Saudi Arabia,35950396,100.0,100.0,100.0,100,44339.312,76.936,0.6721140000000001,2.31,16.13549,17.0,0.1,43681.062
162,Senegal,16876726,84.905235,70.36894,56.77646,29.4,3495.4036,67.0926,3.8599857,4.36,8.96375,315.0,9.3354845,3422.908
163,Serbia,7296771,95.29553,100.0,97.89867,80.6,19831.297,74.1923,0.54872665,1.64,14.40009,12.0,0.045231834,19046.02
164,Seychelles,106486,96.851746,100.0,100.0,100,28760.516,71.2945,1.3912806,2.16,13.94161,53.0,0.51100403,27125.258
165,Sierra Leone,8420642,63.766285,26.200886,16.509676,0.800000000000001,1614.6981,60.0624,10.4686966,3.9,9.573391,1120.0,26.062035,1593.2336
166,Singapore,5941063,100.0,100.0,100.0,100,106032.23,82.7545,0.20883267,1.28,16.52432,8.0,0.1,88107.05
167,Slovakia,5447621,99.7877,100.0,97.53262,96.58,31866.025,74.9101,0.56331096,1.57,14.51304,1.8,0.11811626,30842.518
168,Slovenia,2119408,99.5,100.0,98.09979,100,40036.484,80.6904,0.21695964,1.68,17.65492,0.0,0.0,39032.363
169,Solomon Islands,707855,67.301025,73.34648,34.755924,8.9,2406.1135,70.3477,1.8785265,3.54,10.328691,104.0,26.564886,2527.789
170,Somalia,17065588,56.476974,49.73087,39.306618,3.8,1136.736,55.2803,11.178455,5.71,5.3,829.0,70.726204,1052.9955
171,South Africa,59392256,93.885056,84.38554,78.47461,88.4,13311.926,62.341,3.284733,2.31,13.64371,119.0,20.48492,13548.156
172,South Korea,51830136,99.9314,100.0,99.93749,100,44232.207,83.6978,0.28881986,1.39,16.52174,11.8,0.22666514,43051.79
173,South Sudan,10748278,40.950928,7.2413383,15.844817,0,1071.78,54.9752,9.8689644,4.39,5.54251,1150.0,67.32726,768.0
174,Spain,47486932,99.92561,100.0,99.903366,100,37913.074,83.01,0.30454288,1.44,17.9169,2.9,0.7938134,38166.72
175,Sri Lanka,21773438,92.22758,100.0,93.65293,32.6,13386.682,76.3991,0.6748074500000001,1.97,14.139905,36.0,1.2953176,13085.176
176,Sudan,45657204,60.448677,55.3897,36.892082,62.8,3701.069,65.2667,5.489554,4.17,7.945188,295.0,15.26306,3553.5042
177,Suriname,612989,97.98963,98.20477,89.95421,94.8,14766.748,70.2743,1.7175814,2.24,13.035644,120.0,26.0,15805.439
178,Sweden,10467095,99.826866,100.0,99.286224,100,53613.42,82.9833,0.24645145,1.91,19.41853,7.0,0.3165186,55266.438
179,Switzerland,8691409,100.0,100.0,99.89988,100,71032.84,83.9872,0.38305519,1.57,16.5003,7.0,0.03050398,65039.863
180,Syria,21324366,93.92586,89.14032,89.69348,89.01,533.39,72.0627,2.2272444,2.65,9.16422,31.0,1.0981212,4192.0
182,Tajikistan,9750078,81.85242,99.7793,96.76531,85.5,3903.32,71.5942,3.1419,3.11,11.653036,17.0,6.114529,3709.165
183,Tanzania,63588332,60.716797,39.9,31.760777,6.9,2581.6997,66.2007,4.71164,4.65,9.22149,524.0,44.94932,2402.3706
184,Thailand,71601104,100.0,100.0,98.71312,85.1,17077.043,78.7154,0.8291029000000001,1.42,15.882219,37.0,0.046665337,16246.123
185,Togo,8644829,68.58372,53.997433,18.603199,11.4,2124.8042,61.6194,6.260445000000001,4.08,12.950494,396.0,28.069855,2071.5227
186,Tonga,106034,98.73108,100.0,92.89333,86.8,6142.857,70.9857,1.1139883,3.41,16.04857,52.0,1.1047494,6471.1777
187,Trinidad and Tobago,1525671,98.87517,100.0,93.915215,100,23037.143,72.9709,1.6331766,1.69,14.535453,67.0,2.0847802,26267.81
188,Tunisia,12262949,97.54331,100.0,97.434456,99.9,10397.944,73.7719,1.6321344,2.07,15.425383,43.0,0.14006154,10059.21
189,Turkey,84775408,97.01427,100.0,99.224945,95.21,31466.56,76.0324,0.8980168000000002,1.95,18.33822,13.1,0.3606098,27224.475
190,Turkmenistan,6341850,100.0,100.0,99.41113,99.9,14992.604,69.2644,4.1427803,2.63,13.2104,7.0,43.115105,13134.796
192,Uganda,45853780,55.85505,42.074417,19.789637,0.700000000000001,2246.414,62.7048,4.212818,5.06,10.14987,375.0,42.20773,1934.1599
193,Ukraine,43531424,93.92828,100.0,97.742714,95.2,12943.614,71.624,0.8223226000000001,1.61,14.956569,19.0,0.028825609,12540.384
194,United Arab Emirates,9365149,99.9656,100.0,99.22957,100,69733.8,78.7104,0.6371776,1.66,15.71769,3.0,0.0,67600.1
195,United Kingdom,67281040,100.0,100.0,99.106964,100,44978.715,80.7422,0.41853986,1.87,17.30972,6.5,0.3115665,44879.73
196,United States,336997632,99.88353,100.0,99.67962,100,63669.71,77.1982,0.62429795,1.89,16.28098,23.8,0.99917054,64936.703
197,Uruguay,3426265,99.49576,100.0,98.05453,100,22800.69,75.4356,0.58230987,1.94,16.8326,17.0,0.2030182,20829.635
198,Uzbekistan,34081452,97.82878,100.0,100.0,82.8,7734.8325,70.8616,1.4066064000000005,2.14,12.47714,29.0,82.196815,6974.358
199,Vanuatu,319146,91.23119,67.33327,52.707047,6.9,2783.0195,70.449,2.3214132,3.07,11.535315,72.0,9.999461,3095.2278
201,Venezuela,28199862,93.6858,100.0,95.75957,95.5,15975.73,70.5536,2.4229727000000003,2.18,12.81608,125.0,7.130037,4811.0
202,Vietnam,97468024,96.88435,100.0,89.246475,96.1,10628.219,73.6181,2.060163,1.93,12.951933,43.0,1.2314411,10084.943
203,Yemen,32981644,60.66357,73.75793,54.116634,61.3,701.71,63.7534,6.190894,3.44,9.09871,164.0,19.802757,1314.0
204,Zambia,19473132,65.412384,44.524475,31.899633,10.2,3236.789,61.2234,5.769183300000001,4.65,10.928761,213.0,61.35216,3244.9795
205,Zimbabwe,15993525,62.66646,52.74767,35.192364,30.3,2115.1445,59.2531,4.952197300000001,3.35,12.110969,458.0,39.75453,2051.6682
